Unnamed: 0,Price,Address,Surface,chambres,toilettes,Surface_per_room,Year_of_Construction,State
689,1152000,Tanja Balia,96,2,1,48,moins de 5 ans,normal
690,960000,Val Fleuri,200,3,2,66.66666667,moins de 5 ans,normal
691,1200000,Malabata,250,3,2,83.33333333,moins de 5 ans,normal
693,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
695,1600000,Malabata,200,3,2,66.66666667,construction neuve,Luxe
696,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
697,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
698,2329000,Malabata,137,3,2,45.66666667,construction neuve,Luxe
699,480000,Moujahidine,150,3,2,50,plus de 5 ans,simple
700,1650000,M'Nar,123,3,2,41,construction neuve,Luxe
701,850000,Moujahidine,91,2,1,45.5,moins de 5 ans,normal
702,2600000,Achakar,160,3,2,53.33333333,construction neuve,Luxe
703,1120000,Castilla,80,2,1,40,moins de 5 ans,normal
704,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
705,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
707,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
708,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
710,2700000,Malabata,200,3,2,66.66666667,construction neuve,Luxe
711,370000,Tanja Balia,56,2,1,28,plus de 5 ans,simple
712,1400000,Castilla,130,3,2,43.33333333,moins de 5 ans,normal
713,1850000,Malabata,116,3,2,38.66666667,construction neuve,Luxe
714,450000,Moujahidine,100,2,1,50,plus de 5 ans,simple
715,440000,Mghogha,100,2,1,50,plus de 5 ans,simple
716,1850000,Tanja Balia,77,2,1,38.5,construction neuve,Luxe
717,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
718,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
719,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
720,550000,Moujahidine,150,3,2,50,plus de 5 ans,simple
721,480000,Moujahidine,150,3,2,50,plus de 5 ans,simple
722,940000,Mesnana,96,2,1,48,moins de 5 ans,normal
724,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
726,700000,Ahlane,64,2,1,32,moins de 5 ans,normal
727,3300000,Malabata,270,4,2,67.5,construction neuve,Luxe
729,1720000,Malabata,118,3,2,39.33333333,construction neuve,Luxe
731,1450000,Malabata,105,3,2,35,moins de 5 ans,normal
733,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
734,2550000,Ahlane,108,3,2,36,construction neuve,Luxe
735,325000,Achakar,52,2,1,26,plus de 5 ans,simple
736,2600000,Achakar,160,3,2,53.33333333,construction neuve,Luxe
737,720000,Mesnana,100,2,1,50,moins de 5 ans,normal
738,1425000,Castilla,95,2,1,47.5,moins de 5 ans,normal
739,1872000,Castilla,117,3,2,39,construction neuve,Luxe
740,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
741,2750000,M'Nar,148,3,2,49.33333333,construction neuve,Luxe
742,1500000,Iberie,108,3,2,36,construction neuve,Luxe
743,980000,Malabata,200,3,2,66.66666667,moins de 5 ans,normal
744,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
746,500000,Tanja Balia,56,2,1,28,plus de 5 ans,simple
747,880000,Branes 2,64,2,1,32,moins de 5 ans,normal
748,450000,Tanja Balia,56,2,1,28,plus de 5 ans,simple
749,1380000,Malabata,250,3,2,83.33333333,moins de 5 ans,normal
750,1300000,Drissia,93,2,1,46.5,moins de 5 ans,normal
751,1280000,Malabata,100,2,1,50,moins de 5 ans,normal
752,3000000,Tanja Balia,280,4,2,70,construction neuve,Luxe
753,1120000,Castilla,80,2,1,40,moins de 5 ans,normal
754,720000,Val Fleuri,76,2,1,38,moins de 5 ans,normal
755,2000000,M'Nar,109,3,2,36.33333333,construction neuve,Luxe
757,750000,Moujahidine,200,3,2,66.66666667,moins de 5 ans,normal
758,3600000,Souani,130,3,2,43.33333333,construction neuve,Luxe
759,936000,Tanja Balia,78,2,1,39,moins de 5 ans,normal
760,450000,Tanja Balia,200,3,2,66.66666667,plus de 5 ans,simple
761,1425000,Castilla,95,2,1,47.5,moins de 5 ans,normal
762,450000,Tanja Balia,100,2,1,50,plus de 5 ans,simple
763,800000,Mesnana,95,2,1,47.5,moins de 5 ans,normal
764,480000,Mesnana,150,3,2,50,plus de 5 ans,simple
765,4000000,Malabata,136,3,2,45.33333333,construction neuve,Luxe
767,1140000,Tanja Balia,130,3,2,43.33333333,moins de 5 ans,normal
768,950000,Mesnana,250,3,2,83.33333333,moins de 5 ans,normal
771,370000,Moujahidine,200,3,2,66.66666667,plus de 5 ans,simple
772,450000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
774,750000,Drissia,100,2,1,50,moins de 5 ans,normal
775,300000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
776,1700000,Mesnana,65,2,1,32.5,construction neuve,Luxe
778,1800000,Mghogha,90,2,1,45,construction neuve,Luxe
780,760000,Mesnana,100,2,1,50,moins de 5 ans,normal
781,420000,Tanja Balia,100,2,1,50,plus de 5 ans,simple
782,830000,Malabata,250,3,2,83.33333333,moins de 5 ans,normal
783,950000,Val Fleuri,124,3,2,41.33333333,moins de 5 ans,normal
784,550000,Mesnana,200,3,2,66.66666667,plus de 5 ans,simple
785,450000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
786,520000,Ahlane,80,2,1,40,plus de 5 ans,simple
787,2600000,Moulay Youssef,250,3,2,83.33333333,construction neuve,Luxe
788,1450000,Malabata,105,3,2,35,moins de 5 ans,normal
789,2400000,Tanja Balia,108,3,2,36,construction neuve,Luxe
790,1150000,Tanja Balia,140,3,2,46.66666667,moins de 5 ans,normal
792,960000,Ahlane,128,3,2,42.66666667,moins de 5 ans,normal
793,1522000,Malabata,87,2,1,43.5,construction neuve,Luxe
794,660000,Mesnana,50,2,1,25,moins de 5 ans,normal
